t,k,v,q,exporter,importer
2018,391510,35.4756894499499,46.2,ALB,BGR
2018,391590,515.953520821946,1040.33,ALB,BGR
2018,391590,1058.72211486326,1319.401,ALB,GRC
2018,391510,32.104666296057,39.91,ALB,ITA
2018,391590,56.5485304369307,96.9,ALB,ROU
2018,391590,2.76368846181673,10.603,ALB,ARE
2018,391590,527.43415132179,831.847,ALB,TUR
2018,391590,624.483086669286,1303.89,ALB,MKD
2018,391590,4.72346445175954,8.386,DZA,FRA
2018,391590,132.550801833391,203.39,DZA,PRT
2018,391510,156.108429880298,732.981,DZA,ESP
2018,391520,39.967256838065,66.252,DZA,ESP
2018,391590,29.6958054600048,39.035,DZA,ESP
2018,391590,171.577166736558,513.799,DZA,TUR
2018,391530,24.512,0.8,AND,DEU
2018,391530,8.127,0.3,AND,ESP
2018,391590,223.971413104893,1058.88741404181,AND,ESP
2018,391590,1.66243326948212,19.492,AGO,MYS
2018,391590,14.9843644991604,41.52,AGO,PAK
2018,391590,22.444,177.65,AGO,IND
2018,391590,94.0040998993781,77.3576543030981,AGO,ZAF
2018,391590,5.62376182461729,15.3,AGO,ESP
2018,391510,100.686071568409,239.47,AGO,ARE
2018,391590,29.8083542824469,66.11,AGO,TUR
2018,391590,5.185,16.081,ATA,BGD
2018,391590,364.23335963904,170,ATA,POL
2018,391590,3.32692398561016,19.1266032781824,AZE,TUR
2018,391530,18.8858116255493,48.384,ARG,BRA
2018,391510,178.845439675666,201.007,ARG,CHL
2018,391590,306.779451098747,264.608,ARG,CHL
2018,391590,44.4562342194798,80.169,ARG,HKG
2018,391590,15.163097666767,111.665,ARG,MYS
2018,391510,22.8336813009295,140.93,ARG,PRY
2018,391510,2.81854772639857,34.178,ARG,THA
2018,391590,1.1926660393366,14.307,ARG,THA
2018,391510,1.19243248413368,4.2,ARG,URY
2018,391590,22.146,52.227,AUS,BGD
2018,391510,12.8816315132462,41.3800639716069,AUS,BEL
2018,391590,32.9682201565964,54.4610136834529,AUS,BEL
2018,391590,1.37762542051151,2.493,AUS,SLB
2018,391590,148.528,350.274,AUS,MMR
2018,391590,9.95768717442169,21.683,AUS,CAN
2018,391510,23.76,71.733,AUS,CHN
2018,391590,390.194251362293,957.898464556597,AUS,CHN
2018,391510,8.212,24.792,AUS,COL
2018,391510,29.5647606633366,86.439,AUS,FRA
2018,391590,50.429,118.927,AUS,FRA
2018,391590,347.273065694824,705.289420526438,AUS,DEU
2018,391590,27.4704419020357,97.92,AUS,GHA
2018,391510,535.134836953745,1102.21602436265,AUS,HKG
2018,391520,83.2453640834431,89.1358924803337,AUS,HKG
2018,391590,2431.81176380679,6114.65291999342,AUS,HKG
2018,391510,4573.60537115971,12770.3077409358,AUS,IDN
2018,391590,5311.9780800627595,13799.5044230361,AUS,IDN
2018,391520,3.25751873204589,11.941,AUS,JPN
2018,391590,309.05,728.831,AUS,JPN
2018,391520,4.839,8.065,AUS,KEN
