Entity,Code,Year,mismanaged,% Mismanaged waste3
Albania,ALB,2010,45,2.99
Algeria,DZA,2010,58,2.99
Angola,AGO,2010,71,2.33
Anguilla,AIA,2010,2,2.33
Antigua and Barbuda,ATG,2010,6,2
Argentina,ARG,2010,12,2
Aruba,ABW,2010,1,79
Australia,AUS,2010,0,25.25
Bahamas,BHS,2010,1,25.20932
Bahrain,BHR,2010,10,60.5
Bangladesh,BGD,2010,87,97.5
Barbados,BRB,2010,4,4.02
Belgium,BEL,2010,0,4.572
Belize,BLZ,2010,29,23
Benin,BEN,2010,83,15.3
Bermuda,BMU,2010,0,62.25
Bosnia and Herzegovina,BIH,2010,40,2
Brazil,BRA,2010,9,13.02
British Virgin Islands,VGB,2010,0,89.5
Brunei,BRN,2010,1,2.02
Bulgaria,BGR,2010,31,72
Cambodia,KHM,2010,87,24.6
Cameroon,CMR,2010,81,2
Canada,CAN,2010,0,19.875
Cape Verde,CPV,2010,74,2
Cayman Islands,CYM,2010,0,2
Channel Islands,OWID_CIS,2010,0,6
Chile,CHL,2010,7,82
China,CHN,2010,74,74
Christmas Island,CXR,2010,0,74.3
Cocos Islands,CCK,2010,0,2
Colombia,COL,2010,21,64
Comoros,COM,2010,83,3
Congo,COG,2010,77,2
Cook Islands,COK,2010,36,99.08
Costa Rica,CRI,2010,16,94
Cote d'Ivoire,CIV,2010,82,2
Croatia,HRV,2010,9,2
Cuba,CUB,2010,23,NR
Curacao,CUW,2010,0,97.1
Cyprus,CYP,2010,0,49.035
Democratic Republic of Congo,COD,2010,85,2
Denmark,DNK,2010,0,64
Djibouti,DJI,2010,73,47
Dominica,DMA,2010,19,2
Dominican Republic,DOM,2010,25,58.39
Ecuador,ECU,2010,30,2
Egypt,EGY,2010,67,100
El Salvador,SLV,2010,33,100
Equatorial Guinea,GNQ,2010,30,2
Eritrea,ERI,2010,77,3
Estonia,EST,2010,9,2
Faeroe Islands,FRO,2010,0,96.75
Falkland Islands,FLK,2010,0,100
Fiji,FJI,2010,78,15.8
Finland,FIN,2010,0,4.26
France,FRA,2010,0,NR
French Guiana,GUF,2010,25,89
French Polynesia,PYF,2010,3,32.53
Gabon,GAB,2010,34,35.88
Gambia,GMB,2010,84,56
Georgia,GEO,2010,51,4.22
Germany,DEU,2010,0,99
Ghana,GHA,2010,81,2
Gibraltar,GIB,2010,0,9.1
Greece,GRC,2010,0,77
Greenland,GRL,2010,0,82
Grenada,GRD,2010,18,2.06
Guadeloupe,GLP,2010,25,86.68
Guam,GUM,2010,0,100
Guatemala,GTM,2010,36,21.5
Guernsey,GGY,2010,0,59
Guinea,GIN,2010,84,100
Guinea-Bissau,GNB,2010,83,93.7
Guyana,GUY,2010,36,86
Haiti,HTI,2010,47,NR
Honduras,HND,2010,40,100
Hong Kong,HKG,2010,1,5
Iceland,ISL,2010,0,4.24
India,IND,2010,85,61
Indonesia,IDN,2010,81,20.235
Iran,IRN,2010,50,NR
Iraq,IRQ,2010,63,30.8
Ireland,IRL,2010,0,NR
Israel,ISR,2010,1,58
Italy,ITA,2010,0,45.8075
Jamaica,JAM,2010,27,92.06
Japan,JPN,2010,0,2
Jordan,JOR,2010,58,98.7
Kenya,KEN,2010,83,2
Kiribati,KIR,2010,84,61.83
Kuwait,KWT,2010,0,97
Latvia,LVA,2010,14,89.88
Lebanon,LBN,2010,34,31
Liberia,LBR,2010,84,85.75
Libya,LBY,2010,23,57.52
Lithuania,LTU,2010,14,69
Macao,MAC,2010,0,100
Madagascar,MDG,2010,84,96.9
Malaysia,MYS,2010,55,25.4
Maldives,MDV,2010,66,NR
Malta,MLT,2010,6,NR
Marshall Islands,MHL,2010,77,92.2
Martinique,MTQ,2010,0,7.66
Mauritania,MRT,2010,82,100
Mauritius,MUS,2010,51,44.3
Mexico,MEX,2010,12,NR
Micronesia (country),FSM,2010,81,87
Monaco,MCO,2010,0,23.8
Montenegro,MNE,2010,30,100
Montserrat,MSR,2010,12,NR
Morocco,MAR,2010,66,11.1
Mozambique,MOZ,2010,84,2
Myanmar,MMR,2010,87,100
Namibia,NAM,2010,66,69.32903
Nauru,NRU,2010,67,89.2
Netherlands,NLD,2010,0,21.8
Netherlands Antilles,ANT,2010,0,3.39
New Caledonia,NCL,2010,0,38
New Zealand,NZL,2010,0,100
Nicaragua,NIC,2010,45,82.3
Nigeria,NGA,2010,81,98.2
Niue,NIU,2010,0,8.15
Norfolk Island,NFK,2010,82,100
North Korea,PRK,2010,88,56.7
Northern Mariana Islands,MNP,2010,0,NR
Norway,NOR,2010,0,26.93
Oman,OMN,2010,4,NR
Pakistan,PAK,2010,86,39
Palau,PLW,2010,56,NR
Palestine,PSE,2010,6,77
Panama,PAN,2010,18,100
Papua New Guinea,PNG,2010,86,NR
Peru,PER,2010,25,14.89
Philippines,PHL,2010,81,75.8
Poland,POL,2010,12,98
Portugal,PRT,2010,0,NR
Puerto Rico,PRI,2010,2,9.58
Qatar,QAT,2010,0,2.01
Reunion,REU,2010,0,2.02
Romania,ROU,2010,26,2
Russia,RUS,2010,16,17.65
Saint Helena,SHN,2010,25,2.28
Saint Kitts and Nevis,KNA,2010,6,96.58
Saint Lucia,LCA,2010,20,NR
Saint Pierre and Miquelon,SPM,2010,0,NR
Saint Vincent and the Grenadines,VCT,2010,21,100
Samoa,WSM,2010,80,2
Sao Tome and Principe,STP,2010,81,NR
Saudi Arabia,SAU,2010,8,3.42
Senegal,SEN,2010,82,97.5
Seychelles,SYC,2010,37,11.14
Sierra Leone,SLE,2010,84,NR
Singapore,SGP,2010,0,100
Sint Maarten (Dutch part),SXM,2010,0,2.01
Slovenia,SVN,2010,1,NR
Solomon Islands,SLB,2010,86,97
Somalia,SOM,2010,85,35.57
South Africa,ZAF,2010,54,30
South Korea,KOR,2010,0,NR
Spain,ESP,2010,0,NR
Sri Lanka,LKA,2010,82,5.35
Sudan,SDN,2010,80,3
Suriname,SUR,2010,15,82
Sweden,SWE,2010,0,55.4325
Syria,SYR,2010,65,NR
Taiwan,TWN,2010,0,100
Tanzania,TZA,2010,84,NR
Thailand,THA,2010,73,NR
Togo,TGO,2010,84,62
Tokelau,TKL,2010,82,NR
Tonga,TON,2010,78,2
Trinidad and Tobago,TTO,2010,3,NR
Tunisia,TUN,2010,60,2
Turkey,TUR,2010,16,68
Turks and Caicos Islands,TCA,2010,0,NR
Tuvalu,TUV,2010,73,NR
Ukraine,UKR,2010,49,NR
United Arab Emirates,ARE,2010,0,5.1
United Kingdom,GBR,2010,0,20.15
United States,USA,2010,0,57.55
Uruguay,URY,2010,8,91
Vanuatu,VUT,2010,81,NR
Venezuela,VEN,2010,5,2
Vietnam,VNM,2010,86,27
Yemen,YEM,2010,73,NR
,,,,100
,,,,NR
,,,,81
,,,,35
,,,,2
,,,,2
,,,,89
,,,,NR
,,,,NR
,,,,3.5
,,,,66
,,,,49.9
,,,,NR
,,,,65
,,,,3.24
,,,,100
,,,,35
,,,,NR
,,,,NR
,,,,63
,,,,30.5775
,,,,NR
,,,,21.7
,,,,NR
,,,,NR
,,,,72
,,,,8
,,,,37.4
,,,,2
,,,,65.2
,,,,56.95
,,,,NR
,,,,87
,,,,11.6
,,,,NR
,,,,NR
