iso3c,region_id,country_name,income_level,gdp,total_msw,recycled,waste_generation,mismanagement_rate,region,sub_region,C1_rate,population,gdp_per_capita,fraction_recycling_chemical,C2_rate,I_mismanagement_min,I_mismanagement_max
ABW,LCN,Aruba,HIC,NA,88132.0167,0.11,13898.63,0.91,Americas,Latin America and the Caribbean,NA,103187,NA,0,NA,0.25,0.75
AND,ECS,Andorra,HIC,3319880351.13342,43000,NA,4926.12,0.499,Europe,Southern Europe,NA,82431,40274.658212728464,0,NA,0.25,0.75
ARE,MEA,United Arab Emirates,HIC,384222464261.402,5413453.408,0.2,1028556.07,0.64,Asia,Western Asia,NA,9269612,41449.68141723752,0,NA,0.25,0.75
ARG,LCN,Argentina,HIC,447517812725.52,17910550,0.06,2656770.94,0.246,Americas,Latin America and the Caribbean,0.11,42981515,10411.866885695397,0,0.11,0.25,0.75
ARM,ECS,Armenia,UMC,11501998665.6524,492800,NA,57174.19,1,Asia,Western Asia,NA,2906220,3957.717814085788,0,NA,0.25,0.75
AUS,EAS,Australia,HIC,1349304594617.26,13345000,0.42100000000000004,1035083.89,0.02,Oceania,Australia and New Zealand,0.14,23789338,56718.8794668124,0,0.14,0,0
AZE,ECS,Azerbaijan,UMC,57195531761.5917,2930349,NA,228304.29,1,Asia,Western Asia,NA,9649341,5927.402893274442,0,NA,0.25,0.75
BEN,SSF,Benin,LIC,9102277422.82945,685936.01,0.25,102301.18,0.77,Africa,Sub-Saharan Africa,NA,5521763,1648.4368167973616,0,NA,0.25,0.75
BFA,SSF,Burkina Faso,LIC,12380518526.0539,2575251.11,0.12,239327.19,0.8575,Africa,Sub-Saharan Africa,NA,18110624,683.6052985283058,0,NA,0.25,0.75
BGD,SAS,Bangladesh,LMC,167771337874.218,14778497.33,NA,764950.81,0.9675,Asia,Southern Asia,NA,155727053,1077.3422770301702,0,NA,0.25,0.75
BHR,MEA,Bahrain,HIC,31769062885.3112,951942.9694500001,0.08,70443.78,0.02,Asia,Western Asia,0.1,1425171,22291.404249252333,0,0.1,0,0
