from,to,quantity,exports,probability,exporter_mismanagement,importer_mismanagement,trade_fraction,old_trade,percent_change
ABW,COL,28.660059999999998,151.13992871999997,0.18962599918314957,0.91,0.06,0.16343353374020317,0.16343353374020317,0
ABW,JOR,10.44108032,151.13992871999997,0.06908221016395356,0.91,0.59,0.16343353374020317,0.16343353374020317,0
ARE,BGD,61.167181899999996,22263.254759789997,0.002747450117243188,0.64,0.9675,0.3253079194476767,0.3253079194476767,0
ARE,BHR,0.025353129999999998,22263.254759789997,1.1387881185185319e-6,0.64,0.02,0.3253079194476767,0.3253079194476767,0
ARE,CHE,0.033069299999999996,22263.254759789997,1.4853758067633022e-6,0.64,0.02,0.3253079194476767,0.3253079194476767,0
ARE,CHN,3655.7394648500003,22263.254759789997,0.1642050771234351,0.64,0.2525,0.3253079194476767,0.3253079194476767,0
ARE,EGY,85.23832536999998,22263.254759789997,0.0038286551669861955,0.64,0.895,0.3253079194476767,0.3253079194476767,0
ARE,GBR,3.0313524999999997,22263.254759789997,1.361594489533027e-4,0.64,0.04572,0.3253079194476767,0.3253079194476767,0
ARE,HKG,2284.3368545799995,22263.254759789997,0.10260570070400375,0.64,0.02,0.3253079194476767,0.3253079194476767,0
ARE,IDN,413.58781431,22263.254759789997,0.018577149602446594,0.64,0.605,0.3253079194476767,0.3253079194476767,0
ARE,IND,2885.47940846,22263.254759789997,0.1296072582195622,0.64,0.79,0.3253079194476767,0.3253079194476767,0
ARE,IRN,391.96379903999997,22263.254759789997,0.01760586236240407,0.64,0.743,0.3253079194476767,0.3253079194476767,0
ARE,IRQ,30.93302322,22263.254759789997,0.001389420529646393,0.64,1,0.3253079194476767,0.3253079194476767,0
ARE,KEN,592.41997485,22263.254759789997,0.026609764890261182,0.64,0.94,0.3253079194476767,0.3253079194476767,0
ARE,KOR,173.43194384999995,22263.254759789997,0.007790053418570138,0.64,0.02,0.3253079194476767,0.3253079194476767,0
ARE,KWT,5.291087999999999,22263.254759789997,2.3766012908212837e-4,0.64,1,0.3253079194476767,0.3253079194476767,0
ARE,LKA,55.62146029,22263.254759789997,0.002498352594448983,0.64,0.87,0.3253079194476767,0.3253079194476767,0
ARE,MAR,195.26319339999998,22263.254759789997,0.008770649013668379,0.64,0.56,0.3253079194476767,0.3253079194476767,0
ARE,MYS,475.6324349699999,22263.254759789997,0.021364011691095898,0.64,0.19875,0.3253079194476767,0.3253079194476767,0
ARE,NGA,21.825737999999998,22263.254759789997,9.803480324637795e-4,0.64,0.82,0.3253079194476767,0.3253079194476767,0
ARE,OMN,561.0570507299999,22263.254759789997,0.025201034475126862,0.64,1,0.3253079194476767,0.3253079194476767,0
ARE,PAK,5279.164312729999,22263.254759789997,0.2371245520787364,0.64,0.72,0.3253079194476767,0.3253079194476767,0
ARE,RUS,349.27574197999996,22263.254759789997,0.015688440245980213,0.64,0.975,0.3253079194476767,0.3253079194476767,0
ARE,SAU,5.567767809999999,22263.254759789997,2.50087773332048e-4,0.64,0.02,0.3253079194476767,0.3253079194476767,0
ARE,SEN,1.07805918,22263.254759789997,4.842325130048365e-5,0.64,0.969,0.3253079194476767,0.3253079194476767,0
ARE,THA,132.24633532,22263.254759789997,0.00594011687630023,0.64,0.6225,0.3253079194476767,0.3253079194476767,0
ARE,TUR,728.6820254999999,22263.254759789997,0.03273025590202936,0.64,0.47,0.3253079194476767,0.3253079194476767,0
ARE,TWN,2146.74762269,22263.254759789997,0.09642559660985749,0.64,0.03,0.3253079194476767,0.3253079194476767,0
ARE,TZA,31.570158399999997,22263.254759789997,0.0014180387701900326,0.64,1,0.3253079194476767,0.3253079194476767,0
ARE,UKR,22.4761009,22263.254759789997,0.0010095604233301245,0.64,0.49035,0.3253079194476767,0.3253079194476767,0
ARE,USA,643.33567375,22263.254759789997,0.028896748507407744,0.64,0.02,0.3253079194476767,0.3253079194476767,0
ARE,UZB,47.02454459999999,22263.254759789997,0.0021122043972174155,0.64,1,0.3253079194476767,0.3253079194476767,0
