country,income_id,population,plastic_waste,msw,percent_composition_plastic_msw,plastic_waste_per_capita,mismanaged_waste,iso3_digit_alpha
United States,HIC,323071342+,34020748.43,263726732,12.9,105.3,0.02,USA
India,LMC,1324509589,26327932.64,277136133,9.5,19.88,0.79,IND
China,UMC,1378665000,21599465.19,220402706,9.8,15.67,0.2525,CHN
Brazil,UMC,206163058,10675989.14,79081401,13.5,51.78,0.2520932,BRA
Indonesia,LMC,261554226,9128000,65200000,14,34.9,0.605,IDN
Russian Federation,UMC,144342396,8467156.25,59585899,14.21,58.66,0.975,RUS
Germany,HIC,82348669,6683412.19,51410863,13,81.16,0.0402,DEU
United Kingdom,HIC,65595565,6471649.94,32037871,20.2,98.66,0.04572,GBR
Mexico,UMC,123333376,5902490.28,54151287,10.9,47.86,0.23,MEX
Japan,HIC,126994511,4881160.79,44374189,11,38.44,0.153,JPN
Thailand,UMC,68971331,4796494.32,27268302,17.59,69.54,0.6225,THA
"Korea, Rep.",HIC,51245707,4514186.21,18576898,24.3,88.09,0.02,KOR
Italy,HIC,60627498,3365130.07,29009742,11.6,55.51,0.1302,ITA
"Egypt, Arab Rep.",LMC,94447072,3037674.77,23366729,13,32.16,0.895,EGY
France,HIC,66859768,2929042.26,32544914,9,43.81,0.0202,FRA
Pakistan,LMC,203627284,2731768.29,30352981,9,13.42,0.72,PAK
Argentina,HIC,43590368,2656770.94,18184606,14.61,60.95,0.246,ARG
Algeria,UMC,40551404,2092007.06,12378740,16.9,51.59,0.02,DZA
Malaysia,UMC,30684804,2058501.3,13723342,15,67.09,0.19875,MYS
Spain,HIC,46483569,1832533.47,20361483,9,39.42,0.02,ESP
Saudi Arabia,HIC,32442572,1810101.04,16455464,11,55.79,0.02,SAU
Colombia,UMC,48171392,1728873.42,13475241,12.83,35.89,0.06,COL
Nigeria,LMC,185960289,1659502.46,34572968,4.8,8.92,0.82,NGA
Philippines,LMC,103663927,1543667.88,14631923,10.55,14.89,0.74,PHL
"Iran, Islamic Rep.",UMC,79564016,1500584.56,17653936,8.5,18.86,0.743,IRN
South Africa,UMC,56203654,1425323.24,20102994,7.09,25.36,0.02,ZAF
Vietnam,LMC,93638724,1404872.91,11562740,12.15,15,0.64,VNM
"Taiwan, China",HIC,23557000,1392828.01,6884963,20.23,59.13,0.03,TWN
Poland,HIC,37970087,1341572.3,11059953,12.13,35.33,0.02,POL
Kazakhstan,UMC,17794055,1281504.75,5126019,25,72.02,0.9908,KAZ
