country,income_id,population,plastic_waste,msw,percent_composition_plastic_msw,plastic_waste_per_capita,mismanaged_waste,,,,,,,,,,,,,,,
United States,HIC,323071342.00,34020748.43,263726732.00,12.90, 105.30 ,2,,,,,,,,,,,,,,,
India,LMC,1324509589.00,26327932.64,277136133.00,9.50, 19.88 ,79,,,,,,,,,,,,,,,
China,UMC,1378665000.00,21599465.19,220402706.00,9.80, 15.67 ,25.25,,,,,,,,,,,,,,,
Brazil,UMC,206163058.00,10675989.14,79081401.00,13.50, 51.78 ,25.20932,,,,,,,,,,,,,,,
Indonesia,LMC,261554226.00,9128000.00,65200000.00,14.00, 34.90 ,60.5,,,,,,,,,,,,,,,
Russian Federation,UMC,144342396.00,8467156.25,59585899.00,14.21, 58.66 ,97.5,,,,,,,,,,,,,,,
Germany,HIC,82348669.00,6683412.19,51410863.00,13.00, 81.16 ,4.02,,,,,,,,,,,,,,,
United Kingdom,HIC,65595565.00,6471649.94,32037871.00,20.20, 98.66 ,4.572,,,,,,,,,,,,,,,
Mexico,UMC,123333376.00,5902490.28,54151287.00,10.90, 47.86 ,23,,,,,,,,,,,,,,,
Japan,HIC,126994511.00,4881160.79,44374189.00,11.00, 38.44 ,15.3,,,,,,,,,,,,,,,
Thailand,UMC,68971331.00,4796494.32,27268302.00,17.59, 69.54 ,62.25,,,,,,,,,,,,,,,
"Korea, Rep.",HIC,51245707.00,4514186.21,18576898.00,24.30, 88.09 ,2,,,,,,,,,,,,,,,
Italy,HIC,60627498.00,3365130.07,29009742.00,11.60, 55.51 ,13.02,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",LMC,94447072.00,3037674.77,23366729.00,13.00, 32.16 ,89.5,,,,,,,,,,,,,,,
France,HIC,66859768.00,2929042.26,32544914.00,9.00, 43.81 ,2.02,,,,,,,,,,,,,,,
Pakistan,LMC,203627284.00,2731768.29,30352981.00,9.00, 13.42 ,72,,,,,,,,,,,,,,,
Argentina,HIC,43590368.00,2656770.94,18184606.00,14.61, 60.95 ,24.6,,,,,,,,,,,,,,,
Algeria,UMC,40551404.00,2092007.06,12378740.00,16.90, 51.59 ,2,,,,,,,,,,,,,,,
Malaysia,UMC,30684804.00,2058501.30,13723342.00,15.00, 67.09 ,19.875,,,,,,,,,,,,,,,
Spain,HIC,46483569.00,1832533.47,20361483.00,9.00, 39.42 ,2,,,,,,,,,,,,,,,
Saudi Arabia,HIC,32442572.00,1810101.04,16455464.00,11.00, 55.79 ,2,,,,,,,,,,,,,,,
Colombia,UMC,48171392.00,1728873.42,13475241.00,12.83, 35.89 ,6,,,,,,,,,,,,,,,
Nigeria,LMC,185960289.00,1659502.46,34572968.00,4.80, 8.92 ,82,,,,,,,,,,,,,,,
Philippines,LMC,103663927.00,1543667.88,14631923.00,10.55, 14.89 ,74,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",UMC,79564016.00,1500584.56,17653936.00,8.50, 18.86 ,74.3,,,,,,,,,,,,,,,
South Africa,UMC,56203654.00,1425323.24,20102994.00,7.09, 25.36 ,2,,,,,,,,,,,,,,,
Vietnam,LMC,93638724.00,1404872.91,11562740.00,12.15, 15.00 ,64,,,,,,,,,,,,,,,
"Taiwan, China",HIC,23557000.00,1392828.01,6884963.00,20.23, 59.13 ,3,,,,,,,,,,,,,,,
Poland,HIC,37970087.00,1341572.30,11059953.00,12.13, 35.33 ,2,,,,,,,,,,,,,,,
Kazakhstan,UMC,17794055.00,1281504.75,5126019.00,25.00, 72.02 ,99.08,,,,,,,,,,,,,,,
Kenya,LMC,49051686.00,1279842.77,6844079.00,18.70, 26.09 ,94,,,,,,,,,,,,,,,
Netherlands,HIC,17030314.00,1251114.20,8936530.00,14.00, 73.46 ,2,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HIC,7336600.00,1199186.94,5710414.00,21.00, 163.45 ,2,,,,,,,,,,,,,,,
